Loan #,Loan Type,Balance,Rate,Term,Asset,Asset Value
1,FixedMortgage,323000,0.02875,240,PrimaryHome,323000
2,FixedMortgage,206000,0.02875,240,PrimaryHome,206000
3,FixedMortgage,200000,0.02875,240,PrimaryHome,204000
4,FixedMortgage,185000,0.02875,240,PrimaryHome,185000
5,FixedMortgage,221000,0.02875,240,PrimaryHome,221000
6,FixedMortgage,258000,0.03,240,PrimaryHome,258000
7,FixedMortgage,374000,0.03,240,PrimaryHome,374000
8,FixedMortgage,229000,0.03125,240,PrimaryHome,229000
9,FixedMortgage,284000,0.03125,240,PrimaryHome,285000
10,FixedMortgage,222000,0.0275,240,PrimaryHome,223000
11,FixedMortgage,330000,0.0275,240,PrimaryHome,330000
12,FixedMortgage,496000,0.0299,240,PrimaryHome,496000
13,FixedMortgage,197000,0.03125,240,PrimaryHome,197000
14,FixedMortgage,290000,0.03125,240,PrimaryHome,290000
15,FixedMortgage,140000,0.0299,240,PrimaryHome,140000
16,FixedMortgage,225000,0.03125,240,PrimaryHome,225000
17,FixedMortgage,394000,0.03125,240,PrimaryHome,394000
18,FixedMortgage,510000,0.02625,240,PrimaryHome,510000
19,FixedMortgage,347000,0.02875,240,PrimaryHome,347000
20,FixedMortgage,372000,0.0275,240,PrimaryHome,372000
21,FixedMortgage,537000,0.02875,240,PrimaryHome,537000
22,FixedMortgage,380000,0.02875,240,PrimaryHome,380000
23,FixedMortgage,465000,0.02875,240,PrimaryHome,465000
24,FixedMortgage,274000,0.0275,240,PrimaryHome,274000
25,FixedMortgage,263000,0.02625,240,PrimaryHome,263000
26,FixedMortgage,372000,0.03125,240,PrimaryHome,373000
27,FixedMortgage,301000,0.02875,240,PrimaryHome,301000
28,FixedMortgage,397000,0.02625,240,PrimaryHome,397000
29,FixedMortgage,218000,0.03,240,PrimaryHome,218000
30,FixedMortgage,247000,0.02875,240,PrimaryHome,247000
31,FixedMortgage,115000,0.02875,240,PrimaryHome,115000
32,FixedMortgage,215000,0.02625,240,PrimaryHome,215000
33,FixedMortgage,168000,0.02875,240,PrimaryHome,168000
34,FixedMortgage,341000,0.02625,240,PrimaryHome,341000
35,FixedMortgage,520000,0.02875,240,PrimaryHome,520000
36,FixedMortgage,202000,0.02875,240,PrimaryHome,202000
37,FixedMortgage,215000,0.02875,240,PrimaryHome,215000
38,FixedMortgage,382000,0.02859,240,PrimaryHome,382000
39,FixedMortgage,237000,0.02875,240,PrimaryHome,237000
40,FixedMortgage,372000,0.02875,240,PrimaryHome,372000
41,FixedMortgage,439000,0.02625,240,PrimaryHome,439000
42,FixedMortgage,188000,0.02875,240,PrimaryHome,188000
43,FixedMortgage,432000,0.02686,240,PrimaryHome,432000
44,FixedMortgage,279000,0.02875,240,PrimaryHome,279000
45,FixedMortgage,506000,0.0275,240,PrimaryHome,506000
46,FixedMortgage,355000,0.02799,240,PrimaryHome,355000
47,FixedMortgage,329000,0.0283,240,PrimaryHome,329000
48,FixedMortgage,477000,0.02999,240,PrimaryHome,477000
49,FixedMortgage,244000,0.02886,240,PrimaryHome,244000
50,FixedMortgage,335000,0.0299,240,PrimaryHome,336000
51,FixedMortgage,224000,0.0275,240,PrimaryHome,224000
52,FixedMortgage,168000,0.0299,240,PrimaryHome,168000
53,FixedMortgage,506000,0.03125,240,PrimaryHome,510000
54,FixedMortgage,154000,0.0275,240,PrimaryHome,154000
55,FixedMortgage,298000,0.03125,240,PrimaryHome,298000
56,FixedMortgage,263000,0.0275,204,PrimaryHome,263000
57,FixedMortgage,182000,0.03125,240,PrimaryHome,182000
58,FixedMortgage,239000,0.0299,240,PrimaryHome,240000
59,FixedMortgage,76000,0.0299,240,PrimaryHome,76000
60,FixedMortgage,175000,0.0299,240,PrimaryHome,176000
61,FixedMortgage,290000,0.0299,240,PrimaryHome,290000
62,FixedMortgage,571000,0.0275,240,PrimaryHome,571000
63,FixedMortgage,130000,0.0299,240,PrimaryHome,130000
64,FixedMortgage,146000,0.03125,240,PrimaryHome,148000
65,FixedMortgage,180000,0.0299,204,PrimaryHome,180000
66,FixedMortgage,176000,0.0299,204,PrimaryHome,176000
67,FixedMortgage,218000,0.0275,240,PrimaryHome,220000
68,FixedMortgage,302000,0.02875,240,PrimaryHome,302000
69,FixedMortgage,203000,0.03125,240,PrimaryHome,204000
70,FixedMortgage,85000,0.0299,240,PrimaryHome,85000
71,FixedMortgage,230000,0.0299,240,PrimaryHome,230000
72,FixedMortgage,361000,0.02875,240,PrimaryHome,361000
73,FixedMortgage,254000,0.0299,240,PrimaryHome,254000
74,FixedMortgage,510000,0.0275,240,PrimaryHome,516000
75,FixedMortgage,175000,0.02875,240,PrimaryHome,175000
76,FixedMortgage,100000,0.0275,204,PrimaryHome,100000
77,FixedMortgage,188000,0.0275,240,PrimaryHome,188000
78,FixedMortgage,356000,0.0275,240,PrimaryHome,356000
79,FixedMortgage,306000,0.0275,240,PrimaryHome,307000
80,FixedMortgage,170000,0.0299,240,PrimaryHome,171000
81,FixedMortgage,215000,0.03125,240,PrimaryHome,216000
82,FixedMortgage,199000,0.0299,240,PrimaryHome,200000
83,FixedMortgage,205000,0.0299,240,PrimaryHome,206000
84,FixedMortgage,124000,0.0299,240,PrimaryHome,124000
85,FixedMortgage,320000,0.02875,240,PrimaryHome,320000
86,FixedMortgage,226000,0.0299,216,PrimaryHome,226000
87,FixedMortgage,391000,0.0299,240,PrimaryHome,391000
88,FixedMortgage,162000,0.0275,240,PrimaryHome,162000
89,FixedMortgage,154000,0.0299,240,PrimaryHome,154000
90,FixedMortgage,261000,0.0299,240,PrimaryHome,261000
91,FixedMortgage,284000,0.0299,240,PrimaryHome,284000
92,FixedMortgage,248000,0.0299,240,PrimaryHome,248000
93,FixedMortgage,317000,0.0275,240,PrimaryHome,317000
94,FixedMortgage,182000,0.02625,204,PrimaryHome,182000
95,FixedMortgage,276000,0.02875,240,PrimaryHome,276000
96,FixedMortgage,291000,0.02875,240,PrimaryHome,291000
97,FixedMortgage,183000,0.0299,240,PrimaryHome,183000
98,FixedMortgage,289000,0.02875,240,PrimaryHome,289000
99,FixedMortgage,208000,0.0299,240,PrimaryHome,208000
100,FixedMortgage,335000,0.0299,240,PrimaryHome,336000
101,FixedMortgage,174000,0.0275,240,PrimaryHome,174000
102,FixedMortgage,309000,0.02875,240,PrimaryHome,309000
103,FixedMortgage,265000,0.02875,240,PrimaryHome,265000
104,FixedMortgage,182000,0.02875,240,PrimaryHome,182000
105,FixedMortgage,340000,0.02875,240,PrimaryHome,341000
106,FixedMortgage,448000,0.02875,240,PrimaryHome,448000
107,FixedMortgage,202000,0.02875,240,PrimaryHome,202000
108,FixedMortgage,450000,0.0299,240,PrimaryHome,450000
109,FixedMortgage,154000,0.0299,240,PrimaryHome,154000
110,FixedMortgage,127000,0.0299,240,PrimaryHome,127000
111,FixedMortgage,352000,0.02875,240,PrimaryHome,352000
112,FixedMortgage,211000,0.0275,240,PrimaryHome,211000
113,FixedMortgage,311000,0.02875,240,PrimaryHome,311000
114,FixedMortgage,332000,0.0275,240,PrimaryHome,332000
115,FixedMortgage,166000,0.02875,216,PrimaryHome,166000
116,FixedMortgage,232000,0.0275,240,PrimaryHome,232000
117,FixedMortgage,467000,0.02875,240,PrimaryHome,468000
118,FixedMortgage,205000,0.02875,240,PrimaryHome,205000
119,FixedMortgage,290000,0.0275,240,PrimaryHome,290000
120,FixedMortgage,432000,0.0275,240,PrimaryHome,434000
121,FixedMortgage,172000,0.0275,240,PrimaryHome,172000
122,FixedMortgage,154000,0.0275,240,PrimaryHome,154000
123,FixedMortgage,195000,0.0299,240,PrimaryHome,195000
124,FixedMortgage,369000,0.0275,240,PrimaryHome,369000
125,FixedMortgage,133000,0.0299,240,PrimaryHome,133000
126,FixedMortgage,225000,0.0299,240,PrimaryHome,226000
127,FixedMortgage,104000,0.0299,240,PrimaryHome,104000
128,FixedMortgage,239000,0.0299,240,PrimaryHome,239000
129,FixedMortgage,100000,0.0299,240,PrimaryHome,100000
130,FixedMortgage,229000,0.0299,240,PrimaryHome,229000
131,FixedMortgage,488000,0.0299,240,PrimaryHome,488000
132,FixedMortgage,405000,0.0299,240,PrimaryHome,405000
133,FixedMortgage,90000,0.03125,240,PrimaryHome,90000
134,FixedMortgage,298000,0.0275,240,PrimaryHome,298000
135,FixedMortgage,266000,0.0275,240,PrimaryHome,266000
136,FixedMortgage,285000,0.0275,240,PrimaryHome,285000
137,FixedMortgage,136000,0.0299,240,PrimaryHome,136000
138,FixedMortgage,150000,0.0275,240,PrimaryHome,150000
139,FixedMortgage,257000,0.0299,240,PrimaryHome,257000
140,FixedMortgage,398000,0.0275,240,PrimaryHome,398000
141,FixedMortgage,146000,0.0299,240,PrimaryHome,146000
142,FixedMortgage,356000,0.0275,240,PrimaryHome,356000
143,FixedMortgage,109000,0.0275,240,PrimaryHome,109000
144,FixedMortgage,319000,0.0275,240,PrimaryHome,319000
145,FixedMortgage,458000,0.0299,240,PrimaryHome,458000
146,FixedMortgage,179000,0.0275,240,PrimaryHome,179000
147,FixedMortgage,276000,0.0275,240,PrimaryHome,278000
148,FixedMortgage,283000,0.02875,240,PrimaryHome,283000
149,FixedMortgage,231000,0.0275,240,PrimaryHome,231000
150,FixedMortgage,359000,0.02875,240,PrimaryHome,359000
151,FixedMortgage,129000,0.0275,240,PrimaryHome,129000
152,FixedMortgage,330000,0.0275,240,PrimaryHome,331000
153,FixedMortgage,330000,0.02875,240,PrimaryHome,330000
154,FixedMortgage,203000,0.02875,240,PrimaryHome,203000
155,FixedMortgage,189000,0.0275,240,PrimaryHome,189000
156,FixedMortgage,86000,0.0299,240,PrimaryHome,86000
157,FixedMortgage,346000,0.02875,240,PrimaryHome,346000
158,FixedMortgage,275000,0.0299,240,PrimaryHome,275000
159,FixedMortgage,197000,0.0275,204,PrimaryHome,197000
160,FixedMortgage,358000,0.02875,240,PrimaryHome,358000
161,FixedMortgage,371000,0.0275,240,PrimaryHome,371000
162,FixedMortgage,313000,0.0275,240,PrimaryHome,313000
163,FixedMortgage,188000,0.02875,240,PrimaryHome,188000
164,FixedMortgage,167000,0.0275,240,PrimaryHome,167000
165,FixedMortgage,261000,0.0275,240,PrimaryHome,261000
166,FixedMortgage,293000,0.0275,240,PrimaryHome,293000
167,FixedMortgage,75000,0.0299,240,PrimaryHome,75000
168,FixedMortgage,287000,0.0275,240,PrimaryHome,287000
169,FixedMortgage,160000,0.0275,240,PrimaryHome,160000
170,FixedMortgage,509000,0.02875,240,PrimaryHome,509000
171,FixedMortgage,260000,0.02875,240,PrimaryHome,260000
172,FixedMortgage,178000,0.0299,228,PrimaryHome,178000
173,FixedMortgage,126000,0.02875,240,PrimaryHome,126000
174,FixedMortgage,116000,0.0299,240,PrimaryHome,116000
175,FixedMortgage,437000,0.02875,240,PrimaryHome,437000
176,FixedMortgage,274000,0.0275,240,PrimaryHome,275000
177,FixedMortgage,473000,0.0299,240,PrimaryHome,473000
178,FixedMortgage,242000,0.02875,240,PrimaryHome,242000
179,FixedMortgage,352000,0.02875,240,PrimaryHome,352000
180,FixedMortgage,380000,0.0275,240,PrimaryHome,380000
181,FixedMortgage,63000,0.0299,240,PrimaryHome,64000
182,FixedMortgage,588000,0.0299,240,PrimaryHome,588000
183,FixedMortgage,116000,0.02875,240,PrimaryHome,116000
184,FixedMortgage,243000,0.0299,240,PrimaryHome,243000
185,FixedMortgage,231000,0.0299,240,PrimaryHome,231000
186,FixedMortgage,179000,0.02875,240,PrimaryHome,179000
187,FixedMortgage,569000,0.02875,240,PrimaryHome,569000
188,FixedMortgage,310000,0.0275,240,PrimaryHome,310000
189,FixedMortgage,444000,0.0299,240,PrimaryHome,445000
190,FixedMortgage,254000,0.0275,240,PrimaryHome,254000
191,FixedMortgage,177000,0.0275,240,PrimaryHome,177000
192,FixedMortgage,262000,0.0299,240,PrimaryHome,262000
193,FixedMortgage,99000,0.0299,240,PrimaryHome,99000
194,FixedMortgage,397000,0.0299,240,PrimaryHome,397000
195,FixedMortgage,190000,0.02875,240,PrimaryHome,190000
196,FixedMortgage,232000,0.02875,240,PrimaryHome,232000
197,FixedMortgage,203000,0.0299,240,PrimaryHome,203000
198,FixedMortgage,202000,0.0299,240,PrimaryHome,202000
199,FixedMortgage,270000,0.0275,240,PrimaryHome,270000
200,FixedMortgage,348000,0.0299,240,PrimaryHome,348000
201,FixedMortgage,150000,0.0299,240,PrimaryHome,150000
202,FixedMortgage,230000,0.02875,240,PrimaryHome,230000
203,FixedMortgage,161000,0.0275,240,PrimaryHome,161000
204,FixedMortgage,155000,0.0299,240,PrimaryHome,155000
205,FixedMortgage,333000,0.0275,240,PrimaryHome,333000
206,FixedMortgage,235000,0.0275,240,PrimaryHome,235000
207,FixedMortgage,319000,0.0299,240,PrimaryHome,319000
208,FixedMortgage,138000,0.0275,240,PrimaryHome,138000
209,FixedMortgage,164000,0.0275,240,PrimaryHome,164000
210,FixedMortgage,336000,0.0299,240,PrimaryHome,336000
211,FixedMortgage,111000,0.0299,240,PrimaryHome,111000
212,FixedMortgage,164000,0.0275,240,PrimaryHome,164000
213,FixedMortgage,291000,0.0275,240,PrimaryHome,291000
214,FixedMortgage,138000,0.0299,240,PrimaryHome,138000
215,FixedMortgage,237000,0.0299,240,PrimaryHome,237000
216,FixedMortgage,138000,0.02875,240,PrimaryHome,138000
217,FixedMortgage,310000,0.0275,240,PrimaryHome,310000
218,FixedMortgage,262000,0.0299,240,PrimaryHome,262000
219,FixedMortgage,160000,0.0299,240,PrimaryHome,160000
220,FixedMortgage,203000,0.0275,240,PrimaryHome,203000
221,FixedMortgage,290000,0.0275,240,PrimaryHome,290000
222,FixedMortgage,358000,0.0275,240,PrimaryHome,358000
223,FixedMortgage,300000,0.02875,240,PrimaryHome,300000
224,FixedMortgage,510000,0.02875,240,PrimaryHome,510000
225,FixedMortgage,200000,0.0275,240,PrimaryHome,200000
226,FixedMortgage,81000,0.02875,240,PrimaryHome,81000
227,FixedMortgage,180000,0.0275,240,PrimaryHome,180000
228,FixedMortgage,79000,0.02875,240,PrimaryHome,79000
229,FixedMortgage,370000,0.02875,204,PrimaryHome,370000
230,FixedMortgage,81000,0.0299,240,PrimaryHome,81000
231,FixedMortgage,275000,0.02875,240,PrimaryHome,275000
232,FixedMortgage,85000,0.0299,240,PrimaryHome,85000
233,FixedMortgage,384000,0.0275,240,PrimaryHome,384000
234,FixedMortgage,312000,0.0299,240,PrimaryHome,312000
235,FixedMortgage,127000,0.0299,228,PrimaryHome,127000
236,FixedMortgage,153000,0.02875,240,PrimaryHome,153000
237,FixedMortgage,510000,0.02875,240,PrimaryHome,510000
238,FixedMortgage,170000,0.0299,240,PrimaryHome,170000
239,FixedMortgage,280000,0.0299,240,PrimaryHome,280000
240,FixedMortgage,256000,0.0275,240,PrimaryHome,256000
241,FixedMortgage,209000,0.0299,240,PrimaryHome,209000
242,FixedMortgage,400000,0.0275,240,PrimaryHome,400000
243,FixedMortgage,152000,0.02875,240,PrimaryHome,152000
244,FixedMortgage,336000,0.02875,240,PrimaryHome,336000
245,FixedMortgage,295000,0.0275,240,PrimaryHome,295000
246,FixedMortgage,322000,0.0299,216,PrimaryHome,322000
247,FixedMortgage,419000,0.0299,240,PrimaryHome,419000
248,FixedMortgage,339000,0.0299,240,PrimaryHome,339000
249,FixedMortgage,253000,0.0299,240,PrimaryHome,253000
250,FixedMortgage,289000,0.0275,240,PrimaryHome,289000
251,FixedMortgage,526000,0.02875,240,PrimaryHome,526000
252,FixedMortgage,114000,0.02875,240,PrimaryHome,114000
253,FixedMortgage,562000,0.02875,240,PrimaryHome,562000
254,FixedMortgage,391000,0.0275,240,PrimaryHome,391000
255,FixedMortgage,293000,0.0299,240,PrimaryHome,293000
256,FixedMortgage,306000,0.0275,240,PrimaryHome,306000
257,FixedMortgage,260000,0.0299,240,PrimaryHome,260000
258,FixedMortgage,128000,0.0299,240,PrimaryHome,128000
259,FixedMortgage,492000,0.02875,240,PrimaryHome,492000
260,FixedMortgage,295000,0.0275,240,PrimaryHome,295000
261,FixedMortgage,280000,0.0275,240,PrimaryHome,280000
262,FixedMortgage,579000,0.02875,240,PrimaryHome,579000
263,FixedMortgage,322000,0.0275,240,PrimaryHome,322000
264,FixedMortgage,551000,0.0275,240,PrimaryHome,555000
265,FixedMortgage,179000,0.0275,240,PrimaryHome,179000
266,FixedMortgage,217000,0.0275,240,PrimaryHome,217000
267,FixedMortgage,235000,0.0299,240,PrimaryHome,235000
268,FixedMortgage,275000,0.0299,240,PrimaryHome,275000
269,FixedMortgage,510000,0.0275,240,PrimaryHome,510000
270,FixedMortgage,473000,0.0299,240,PrimaryHome,473000
271,FixedMortgage,141000,0.02875,240,PrimaryHome,141000
272,FixedMortgage,289000,0.0275,240,PrimaryHome,289000
273,FixedMortgage,175000,0.02875,240,PrimaryHome,175000
274,FixedMortgage,183000,0.0299,240,PrimaryHome,183000
275,FixedMortgage,407000,0.0275,240,PrimaryHome,407000
276,FixedMortgage,210000,0.0275,216,PrimaryHome,210000
277,FixedMortgage,127000,0.0299,240,PrimaryHome,127000
278,FixedMortgage,212000,0.0299,240,PrimaryHome,212000
279,FixedMortgage,95000,0.02875,216,PrimaryHome,95000
280,FixedMortgage,286000,0.0275,204,PrimaryHome,286000
281,FixedMortgage,224000,0.0299,240,PrimaryHome,224000
282,FixedMortgage,354000,0.0299,240,PrimaryHome,354000
283,FixedMortgage,183000,0.0299,240,PrimaryHome,183000
284,FixedMortgage,304000,0.02875,240,PrimaryHome,304000
285,FixedMortgage,171000,0.02875,240,PrimaryHome,171000
286,FixedMortgage,105000,0.0275,240,PrimaryHome,105000
287,FixedMortgage,145000,0.0299,240,PrimaryHome,145000
288,FixedMortgage,429000,0.0275,240,PrimaryHome,429000
289,FixedMortgage,365000,0.0275,240,PrimaryHome,365000
290,FixedMortgage,112000,0.02875,240,PrimaryHome,112000
291,FixedMortgage,490000,0.0275,240,PrimaryHome,490000
292,FixedMortgage,266000,0.03125,240,PrimaryHome,266000
293,FixedMortgage,135000,0.0299,240,PrimaryHome,135000
294,FixedMortgage,382000,0.0275,240,PrimaryHome,382000
295,FixedMortgage,181000,0.02875,240,PrimaryHome,181000
296,FixedMortgage,153000,0.0275,216,PrimaryHome,153000
297,FixedMortgage,298000,0.02875,240,PrimaryHome,298000
298,FixedMortgage,114000,0.02875,240,PrimaryHome,114000
299,FixedMortgage,150000,0.0299,240,PrimaryHome,150000
300,FixedMortgage,175000,0.0275,240,PrimaryHome,175000
301,FixedMortgage,173000,0.0299,240,PrimaryHome,173000
302,FixedMortgage,245000,0.0299,216,PrimaryHome,245000
303,FixedMortgage,305000,0.02875,240,PrimaryHome,305000
304,FixedMortgage,230000,0.0275,240,PrimaryHome,230000
305,FixedMortgage,155000,0.02875,228,PrimaryHome,155000
306,FixedMortgage,128000,0.0299,240,PrimaryHome,128000
307,FixedMortgage,349000,0.0275,240,PrimaryHome,349000
308,FixedMortgage,218000,0.0299,240,PrimaryHome,218000
309,FixedMortgage,125000,0.0299,240,PrimaryHome,125000
310,FixedMortgage,246000,0.02875,240,PrimaryHome,246000
311,FixedMortgage,409000,0.0275,240,PrimaryHome,409000
312,FixedMortgage,116000,0.02875,240,PrimaryHome,116000
313,FixedMortgage,129000,0.0299,240,PrimaryHome,129000
314,FixedMortgage,76000,0.02875,240,PrimaryHome,76000
315,FixedMortgage,292000,0.0275,240,PrimaryHome,292000
316,FixedMortgage,198000,0.02875,240,PrimaryHome,198000
317,FixedMortgage,254000,0.0275,240,PrimaryHome,254000
318,FixedMortgage,217000,0.0275,240,PrimaryHome,217000
319,FixedMortgage,202000,0.0299,240,PrimaryHome,203000
320,FixedMortgage,145000,0.0299,240,PrimaryHome,145000
321,FixedMortgage,146000,0.02875,240,PrimaryHome,146000
322,FixedMortgage,240000,0.0299,240,PrimaryHome,240000
323,FixedMortgage,205000,0.0275,240,PrimaryHome,205000
324,FixedMortgage,310000,0.0275,240,PrimaryHome,310000
325,FixedMortgage,232000,0.03125,240,PrimaryHome,232000
326,FixedMortgage,301000,0.0275,240,PrimaryHome,301000
327,FixedMortgage,94000,0.02875,240,PrimaryHome,94000
328,FixedMortgage,510000,0.0299,240,PrimaryHome,510000
329,FixedMortgage,209000,0.02875,240,PrimaryHome,209000
330,FixedMortgage,232000,0.0275,240,PrimaryHome,232000
331,FixedMortgage,352000,0.02875,240,PrimaryHome,352000
332,FixedMortgage,267000,0.0275,240,PrimaryHome,267000
333,FixedMortgage,208000,0.0299,240,PrimaryHome,208000
334,FixedMortgage,173000,0.0275,240,PrimaryHome,173000
335,FixedMortgage,350000,0.0275,240,PrimaryHome,350000
336,FixedMortgage,119000,0.02875,240,PrimaryHome,119000
337,FixedMortgage,144000,0.0275,216,PrimaryHome,145000
338,FixedMortgage,198000,0.0275,240,PrimaryHome,198000
339,FixedMortgage,466000,0.0275,240,PrimaryHome,466000
340,FixedMortgage,192000,0.02875,240,PrimaryHome,192000
341,FixedMortgage,214000,0.0275,240,PrimaryHome,214000
342,FixedMortgage,484000,0.0275,240,PrimaryHome,484000
343,FixedMortgage,312000,0.0275,240,PrimaryHome,312000
344,FixedMortgage,431000,0.0275,240,PrimaryHome,431000
345,FixedMortgage,344000,0.03125,240,PrimaryHome,344000
346,FixedMortgage,368000,0.0275,240,PrimaryHome,368000
347,FixedMortgage,337000,0.0275,240,PrimaryHome,337000
348,FixedMortgage,746000,0.02875,240,PrimaryHome,750000
349,FixedMortgage,157000,0.02875,240,PrimaryHome,157000
350,FixedMortgage,474000,0.0275,240,PrimaryHome,475000
351,FixedMortgage,298000,0.02875,240,PrimaryHome,298000
352,FixedMortgage,306000,0.0299,240,PrimaryHome,306000
353,FixedMortgage,140000,0.03125,240,PrimaryHome,140000
354,FixedMortgage,117000,0.0299,240,PrimaryHome,117000
355,FixedMortgage,176000,0.02875,240,PrimaryHome,176000
356,FixedMortgage,163000,0.0299,240,PrimaryHome,163000
357,FixedMortgage,314000,0.0275,240,PrimaryHome,314000
358,FixedMortgage,158000,0.0299,240,PrimaryHome,158000
359,FixedMortgage,440000,0.02875,240,PrimaryHome,440000
360,FixedMortgage,593000,0.02875,240,PrimaryHome,593000
361,FixedMortgage,279000,0.0275,240,PrimaryHome,279000
362,FixedMortgage,120000,0.02875,240,PrimaryHome,120000
363,FixedMortgage,379000,0.02875,240,PrimaryHome,379000
364,FixedMortgage,386000,0.0275,240,PrimaryHome,386000
365,FixedMortgage,232000,0.0275,240,PrimaryHome,232000
366,FixedMortgage,413000,0.0275,240,PrimaryHome,413000
367,FixedMortgage,369000,0.02875,240,PrimaryHome,369000
368,FixedMortgage,126000,0.02875,240,PrimaryHome,127000
369,FixedMortgage,154000,0.0299,240,PrimaryHome,154000
370,FixedMortgage,267000,0.03125,240,PrimaryHome,267000
371,FixedMortgage,113000,0.02875,240,PrimaryHome,113000
372,FixedMortgage,194000,0.0299,240,PrimaryHome,194000
373,FixedMortgage,360000,0.0299,240,PrimaryHome,360000
374,FixedMortgage,299000,0.03125,240,PrimaryHome,299000
375,FixedMortgage,313000,0.0275,240,PrimaryHome,313000
376,FixedMortgage,339000,0.02625,204,PrimaryHome,339000
377,FixedMortgage,253000,0.0299,240,PrimaryHome,253000
378,FixedMortgage,299000,0.0275,240,PrimaryHome,299000
379,FixedMortgage,178000,0.0299,240,PrimaryHome,178000
380,FixedMortgage,88000,0.0299,204,PrimaryHome,88000
381,FixedMortgage,140000,0.02875,240,PrimaryHome,140000
382,FixedMortgage,200000,0.0299,240,PrimaryHome,200000
383,FixedMortgage,149000,0.0299,240,PrimaryHome,149000
384,FixedMortgage,238000,0.0275,240,PrimaryHome,238000
385,FixedMortgage,74000,0.02875,240,PrimaryHome,74000
386,FixedMortgage,341000,0.0275,240,PrimaryHome,341000
387,FixedMortgage,354000,0.0275,240,PrimaryHome,354000
388,FixedMortgage,211000,0.0275,240,PrimaryHome,211000
389,FixedMortgage,125000,0.02875,240,PrimaryHome,126000
390,FixedMortgage,158000,0.03125,240,PrimaryHome,158000
391,FixedMortgage,176000,0.0299,240,PrimaryHome,176000
392,FixedMortgage,333000,0.0275,240,PrimaryHome,333000
393,FixedMortgage,271000,0.0275,240,PrimaryHome,274000
394,FixedMortgage,431000,0.02875,240,PrimaryHome,431000
395,FixedMortgage,218000,0.0275,240,PrimaryHome,218000
396,FixedMortgage,225000,0.0275,240,PrimaryHome,225000
397,FixedMortgage,178000,0.02875,240,PrimaryHome,178000
398,FixedMortgage,184000,0.0299,240,PrimaryHome,184000
399,FixedMortgage,174000,0.02875,240,PrimaryHome,174000
400,FixedMortgage,196000,0.0299,240,PrimaryHome,196000
401,FixedMortgage,255000,0.02875,240,PrimaryHome,255000
402,FixedMortgage,135000,0.02875,240,PrimaryHome,135000
403,FixedMortgage,132000,0.02875,240,PrimaryHome,132000
404,FixedMortgage,94000,0.0299,240,PrimaryHome,94000
405,FixedMortgage,224000,0.02875,240,PrimaryHome,224000
406,FixedMortgage,137000,0.0299,240,PrimaryHome,137000
407,FixedMortgage,221000,0.0299,240,PrimaryHome,221000
408,FixedMortgage,312000,0.02875,240,PrimaryHome,312000
409,FixedMortgage,136000,0.0299,240,PrimaryHome,136000
410,FixedMortgage,197000,0.0299,240,PrimaryHome,197000
411,FixedMortgage,206000,0.02875,240,PrimaryHome,206000
412,FixedMortgage,249000,0.0275,240,PrimaryHome,249000
413,FixedMortgage,176000,0.02875,240,PrimaryHome,176000
414,FixedMortgage,286000,0.0275,240,PrimaryHome,286000
415,FixedMortgage,227000,0.02875,240,PrimaryHome,227000
416,FixedMortgage,170000,0.02875,240,PrimaryHome,170000
417,FixedMortgage,137000,0.0299,240,PrimaryHome,137000
418,FixedMortgage,202000,0.02875,240,PrimaryHome,202000
419,FixedMortgage,187000,0.0299,240,PrimaryHome,187000
420,FixedMortgage,366000,0.0299,240,PrimaryHome,366000
421,FixedMortgage,298000,0.0299,240,PrimaryHome,298000
422,FixedMortgage,429000,0.02875,240,PrimaryHome,429000
423,FixedMortgage,280000,0.0275,240,PrimaryHome,280000
424,FixedMortgage,204000,0.0299,240,PrimaryHome,204000
425,FixedMortgage,91000,0.0299,240,PrimaryHome,91000
426,FixedMortgage,181000,0.0275,240,PrimaryHome,181000
427,FixedMortgage,133000,0.0299,240,PrimaryHome,133000
428,FixedMortgage,118000,0.0299,240,PrimaryHome,118000
429,FixedMortgage,328000,0.03125,240,PrimaryHome,329000
430,FixedMortgage,219000,0.0299,240,PrimaryHome,219000
431,FixedMortgage,290000,0.0275,240,PrimaryHome,290000
432,FixedMortgage,297000,0.0275,240,PrimaryHome,297000
433,FixedMortgage,185000,0.0275,240,PrimaryHome,185000
434,FixedMortgage,316000,0.02875,240,PrimaryHome,316000
435,FixedMortgage,177000,0.0275,240,PrimaryHome,177000
436,FixedMortgage,216000,0.0299,240,PrimaryHome,216000
437,FixedMortgage,285000,0.0275,240,PrimaryHome,288000
438,FixedMortgage,87000,0.0299,240,PrimaryHome,87000
439,FixedMortgage,263000,0.02875,240,PrimaryHome,263000
440,FixedMortgage,179000,0.0299,240,PrimaryHome,179000
441,FixedMortgage,685000,0.02875,240,PrimaryHome,685000
442,FixedMortgage,296000,0.0275,240,PrimaryHome,297000
443,FixedMortgage,102000,0.0299,240,PrimaryHome,102000
444,FixedMortgage,245000,0.0299,240,PrimaryHome,245000
445,FixedMortgage,422000,0.02875,228,PrimaryHome,422000
446,FixedMortgage,327000,0.0275,240,PrimaryHome,327000
447,FixedMortgage,238000,0.0275,240,PrimaryHome,238000
448,FixedMortgage,305000,0.02875,240,PrimaryHome,305000
449,FixedMortgage,262000,0.02875,240,PrimaryHome,262000
450,FixedMortgage,195000,0.0299,240,PrimaryHome,195000
